Company_ID,Company_Name,Industry,Company_Size,Annual_Revenue (M₺),Marketing_Spend (K₺),Campaign_Type,Leads_Generated,Conversion_Rate (%),Region,District,Last_Product_1,Last_Product_2,Frequency_of_Purchase,Days_Since_Last_Purchase,Contract_Status,Total_Purchases_Last_Year,Payment_Behavior,Preferred_Channel,Sales_Rep,Industry_Group,About_Us,Website_URL
C0001,Compass Minerals,MINING_METALS,Medium,1200,33,SEM,12,0.9,Overland Park,Kansas,Process safety & automation,Valves,Monthly,6,Pending,15,On-time,Sales Rep,E**** T*******,Metals & Mining,Essential-minerals company producing salt and plant nutrition products from advantaged assets in North America and the U.K.,https://www.compassminerals.com
C0002,Ducommun,AVIATION_AEROSPACE,Small,757,12,Content Marketing,4,1.2,Santa Ana,California,Energy storage systems,Actuators & motion control,Occasionally,310,Active,0,On-time,Sales Rep,D**** S*******,Aerospace & Defense,Provider of engineered products and manufacturing solutions — structural and electronic systems — for aerospace and defense platforms.,https://www.ducommun.com
C0003,Apogee Enterprises,BUILDING_MATERIALS,Small,1400,11,Content Marketing,9,1.1,Minneapolis,Minnesota,Lighting & controls,Conduit & cable management,Quarterly,63,Active,4,Occasional delay,Sales Rep,B**** K*******,Construction & Materials,"Architectural building products company providing glass, framing systems, and installation services for commercial buildings.",https://www.apog.com
C0004,ProPetro Services,OIL_ENERGY,Small,1600,29,Trade Show,9,0.4,Midland,Texas,Medium-voltage power systems,Process safety & automation,Monthly,17,Active,8,On-time,Sales Rep,A**** Y*******,Energy,Oilfield services company providing pressure pumping and completion services to upstream producers in the Permian Basin.,https://www.propetroservices.com
C0005,Core Laboratories,OIL_ENERGY,Small,520,23,Trade Show,11,0.5,Houston,Texas,Medium-voltage power systems,Fuel systems & emissions,Quarterly,93,Active,3,On-time,Sales Rep,C**** D*******,Energy,Reservoir description and production enhancement services company serving the global oil and gas industry.,https://www.corelab.com
C0006,Health Catalyst,HOSPITAL_HEALTH_CARE,Large,305.0,180,Content Marketing,14,1.4,Salt Lake City,Utah,Ignite data platform,Analytics applications,Quarterly,45,Active,6,On-time,Sales Rep,S**** C*******,Health Care,"Healthcare data-and-analytics company that unifies data and applies AI-powered insights to drive measurable clinical, financial, and operational improvement for provider organizations.",https://www.healthcatalyst.com
C0007,Filevine,LEGAL_SERVICES,Medium,120.0,95,SEM,10,1.1,Salt Lake City,Utah,LOIS legal research,Case management,Monthly,30,Active,9,On-time,Sales Rep,S**** C*******,Software & IT Services,"Legal case and matter management platform with AI-powered tools for documents, billing, and casework.",https://www.filevine.com
C0008,Everlaw,LEGAL_SERVICES,Medium,85.0,70,Trade Show,8,0.9,Oakland,California,Deep Dive ediscovery,Writing Assistant,Quarterly,60,Active,5,On-time,Sales Rep,S**** C*******,Software & IT Services,"AI-powered, cloud-native ediscovery platform that helps legal teams manage litigation and investigations.",https://www.everlaw.com
C0009,Accolade,HOSPITAL_HEALTH_CARE,Large,410.0,220,Content Marketing,12,1.0,Seattle,Washington,True Health Actions,WayFinding navigation,Quarterly,75,Active,4,On-time,Sales Rep,S**** C*******,Health Care,"Health benefits navigation and advocacy company connecting members to care, clinical expertise, and benefits support (part of Transcarent).",https://www.accolade.com
C0010,Brex,FINANCIAL_SERVICES,Large,500.0,260,SEM,16,1.6,San Francisco,California,Corporate cards,Expense management,Monthly,20,Active,12,On-time,Sales Rep,S**** C*******,Financial Services,"Financial services company providing corporate cards, expense management, and integrated finance software (a Capital One company).",https://www.brex.com
C0011,Cedar,HOSPITAL_HEALTH_CARE,Medium,150.0,110,Content Marketing,11,1.2,New York,New York,Cedar Pay,Cedar Intelligence,Monthly,25,Active,10,On-time,Sales Rep,S**** C*******,Health Care,"Healthcare financial platform that unifies billing, payments, insurance coverage, and patient support.",https://www.cedar.com
C0012,Axiom Law,LEGAL_SERVICES,Large,380.0,190,Content Marketing,10,1.0,New York,New York,On-demand counsel,Legal secondments,Quarterly,40,Active,6,On-time,Sales Rep,S**** C*******,Professional Services,"Global alternative legal services provider delivering on-demand legal talent, secondments, and AI-enabled legal services.",https://www.axiomlaw.com
C0013,MoneyLion,FINANCIAL_SERVICES,Large,430.0,240,SEM,10,1.0,New York,New York,Personal loans,Credit monitoring,Monthly,40,Active,6,On-time,Sales Rep,S**** C*******,Financial Services,"Mobile finance app bundling borrowing, saving, investing, and credit-building for consumers.",https://www.moneylion.com
C0014,Ironclad,LEGAL_SERVICES,Medium,95.0,80,Content Marketing,10,1.0,San Francisco,California,CLM platform,Contract analytics,Quarterly,40,Active,6,On-time,Sales Rep,S**** C*******,Software & IT Services,"AI-powered contract lifecycle management software for designing, deploying, and analyzing contracts.",https://ironcladapp.com
C0015,Ramp,FINANCIAL_SERVICES,Large,640.0,300,SEM,10,1.0,New York,New York,Corporate cards,Spend automation,Monthly,40,Active,6,On-time,Sales Rep,S**** C*******,Financial Services,"Finance operations platform offering corporate cards, expense management, and automation tools.",https://ramp.com
C0016,Progyny,HOSPITAL_HEALTH_CARE,Large,1100.0,350,Trade Show,10,1.0,New York,New York,Fertility benefits,Family-building services,Quarterly,40,Active,6,On-time,Sales Rep,S**** C*******,Health Care,"Employer-sponsored fertility and family-building benefits covering treatment, adoption, surrogacy, and menopause care.",https://progyny.com
C0017,Innovaccer,HOSPITAL_HEALTH_CARE,Large,210.0,150,Content Marketing,10,1.0,San Francisco,California,Healthcare cloud,Population health,Quarterly,40,Active,6,On-time,Sales Rep,S**** C*******,Health Care,"AI-driven healthcare cloud that unifies data and deploys agents across clinical, operational, and financial workflows.",https://innovaccer.com
C0018,Stash,FINANCIAL_SERVICES,Medium,125.0,100,SEM,10,1.0,New York,New York,Micro-investing,Financial education,Monthly,40,Active,6,On-time,Sales Rep,S**** C*******,Financial Services,Consumer fintech that lets everyday Americans start investing with as little as $5.,https://www.stash.com
C0019,M1 Finance,FINANCIAL_SERVICES,Medium,110.0,85,Content Marketing,10,1.0,Chicago,Illinois,Automated investing,Margin loans,Monthly,40,Active,6,On-time,Sales Rep,S**** C*******,Financial Services,"Fintech platform offering commission-free automated investing, high-yield cash accounts, and margin loans.",https://m1.com
C0020,Betterment,FINANCIAL_SERVICES,Large,320.0,170,SEM,10,1.0,New York,New York,Robo-advisory,High-yield savings,Quarterly,40,Active,6,On-time,Sales Rep,S**** C*******,Financial Services,"Fintech company offering automated investing, retirement accounts, high-yield savings, and advisory services.",https://www.betterment.com
C0021,Litera,LEGAL_SERVICES,Large,260.0,140,Trade Show,10,1.0,Chicago,Illinois,Document drafting,Content lifecycle,Quarterly,40,Active,6,On-time,Sales Rep,S**** C*******,Software & IT Services,Document content lifecycle management software for legal and professional-services firms.,https://www.litera.com
